[2026-02-10 08:56:38 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-02-10 08:56:50 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2026-02-10 08:56:53 : INFO] - Pruning the Cache log file 
[2026-02-10 08:57:50 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 08:57:50 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 08:57:50 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 08:57:50 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:03:59 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:03:59 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:03:59 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:03:59 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:03:59 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:03:59 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:06:23 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:06:23 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:06:23 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:06:23 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:06:23 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:06:23 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:15:24 : INFO] - Full Cache Purge triggered by: WPO_Page_Cache::handle_purge_single_page_cache 
[2026-02-10 09:17:37 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:17:37 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:17:37 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:17:37 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:17:37 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:17:37 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:19:15 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:19:15 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:19:15 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:19:15 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-10 09:19:15 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-10 09:19:15 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-13 07:25:49 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-13 07:25:49 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-13 07:25:49 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-13 07:25:49 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-13 07:25:49 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-13 07:25:49 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-13 07:49:55 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-13 07:49:55 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-13 07:49:55 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-13 07:49:55 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-13 07:49:55 : INFO] - Cache for URL: http://cloudfoods.local/ has been purged, triggered by action: save_post 
[2026-02-13 07:49:55 : INFO] - Cache for author page URL: http://cloudfoods.local/author/webdesigner/ associated with post_type: page and Title: "Home" has been purged, triggered by action: save_post 
[2026-02-13 07:55:22 : INFO] - Cache for URL: http://cloudfoods.local/privacy-policy/ has been purged, triggered by action: save_post 
[2026-02-13 07:55:22 : INFO] - Cache for author page URL: http://cloudfoods.local/author/admin/ associated with post_type: page and Title: "Privacy Policy" has been purged, triggered by action: save_post 
[2026-02-13 07:55:22 : INFO] - Cache for URL: http://cloudfoods.local/privacy-policy/ has been purged, triggered by action: save_post 
[2026-02-13 07:55:22 : INFO] - Cache for author page URL: http://cloudfoods.local/author/admin/ associated with post_type: page and Title: "Privacy Policy" has been purged, triggered by action: save_post 
[2026-02-13 07:55:23 : INFO] - Cache for URL: http://cloudfoods.local/privacy-policy/ has been purged, triggered by action: save_post 
[2026-02-13 07:55:23 : INFO] - Cache for author page URL: http://cloudfoods.local/author/admin/ associated with post_type: page and Title: "Privacy Policy" has been purged, triggered by action: save_post 
[2026-02-13 08:03:14 : INFO] - Cache for URL: http://cloudfoods.local/terms-and-conditions/ has been purged, triggered by action: save_post 
